"Sygnatura czasowa","Płeć:","Wiek:","Wykształcenie:","Proszę zaznaczyć swoje powiązanie z branżą hotelarsko - gastronomiczną","Proszę zaznaczyć rodzaj prowadzonej działalności HoReCa:","Województwo, w którym znajduje się hotel/restauracja:","Większość przychodów przed pandemią pochodziło z obsługi:","Czy w ciągu ostatnich 12 miesięcy zauważono spadek przychodów? ","Która fala pandemii była bardziej dotkliwa dla przedsiębiorstwa?","Czy koszty prowadzenia przedsiębiorstwa w ciągu ostatnich 12 miesięcy wzrosły?","Ilość osób zatrudnionych na umowę o pracę oraz umowy cywilnoprawne (umowa zlecenie, umowa o dzieło, samozatrudnienie itp.)","Czy konieczna była redukcja zatrudnienia?","Czy w obliczu obecnie organizowanych spotkań online pobyty grupowe/konferencje/uroczystości rodzinne wrócą do stanu sprzed pandemii?","Czy pomoc Państwa (Rządu) była według Pani/Pana wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19?","Z jakiej pomocy Rządu udało się skorzystać?","Które obostrzenia związane z pandemią znacząco wpłynęły na obniżenie obrotów w przedsiębiorstwie według Pani/Pana?","Które wprowadzone znoszenie obostrzeń pozwoliło zredukować straty w przedsiębiorstwie?","Czy próbowała/próbował Pani/Pan stosować w swoim przedsiębiorstwie wymienione poniżej sposoby przeciwdziałania negatywnym skutkom pandemii COVID-19?","Czy wyżej wymienione próby przyniosły wymierny skutek?","W jakim dziale pracowałaś/pracowałeś przed rozpoczęciem pandemii?","Jesteś zatrudniona/zatrudniony w miejscowości:","Forma zatrudnienia:","Czy straciłaś/straciłeś pracę?","Czy konieczne było przekwalifikowanie się?","Czy koniecznym było wybieranie urlopu/opieki?","Czy w firmie w której pracujesz zmieniała się struktura zatrudnienia (ilość osób)?","Jak oceniasz podejście osób zarządzających do spraw pracowników w obliczu ciężkiej sytuacji?","Czy w związku z pandemią dało się odczuć strach przed zakażeniem się?","Czy wystąpiły trudności organizacyjne pracy w związku z wprowadzeniem obostrzeń?","Czy wydłużył się czas wykonywania obowiązków zawodowych w związku z obostrzeniami?","Czy obsługa gości w maseczkach powodowała duży dyskomfort?","Czy goście stosowali się do obowiązujących obostrzeń (noszenie maseczek, dystans społeczny)?","Czy w Twoim miejscu pracy odbyła się kontrola sanepidu/policji (przestrzeganie obostrzeń)?","Czy zaobserwowałaś/zaobserwowałeś zmniejszone obroty w miejscu, w którym pracujesz?","Z jakich usług hotelarsko - gastronomicznych korzystałeś najczęściej podczas pandemii?","Czy obawiałeś się korzystać z hoteli, restauracji, cateringu?","Czy w ciągu 12 miesięcy częściej korzystałeś z aplikacji, portali internetowych w celu zamówienia usług hotelarsko - gastronomicznych (pyszne.pl, booking.com)?","W celach wypoczynkowych najchętniej wybrałabym/wybrałbym - w związku z COVID-19:","Czy wybierając hotel/restaurację kierowałeś się kryterium, które gwarantowało przestrzeganie wytycznych sanitarnych (np. Obiekt bezpieczny higienicznie)?","Czy zauważyłeś zmiany związane z jakością usług podczas pandemii?","Urlop, wolne weekendy w większości udało się spędzić:","Czy planując pobyt hotelowy musiałeś zrezygnować/zmienić datę pobytu?","Czy w przypadku rezygnacji udało się odzyskać pieniądze z zadatku/zaliczki?","Czy opcja bonu turystycznego zachęciła Cię do spędzenia urlopu w Polsce? ","Czy wprowadzenie dodatkowych obostrzeń (np. zamknięcie basenu, restauracji, siłowni) zniechęciłoby Cię do wyjazdu rekreacyjnego?","Czy strajki przedsiębiorców, akcje zachęcające do ratowania polskiej turystyki oraz informacje płynące z rynku o coraz słabszej sytuacji w finansowej wielu przedsiębiorstw zachęciły Cię do wspierania branży hotelarsko - gastronomicznej","Jak wspierałeś branże hotelarsko – gastronomiczną?","Czy w Twojej ocenie pomoc Rządu była wystarczająca aby pokryć koszty oraz straty spowodowane pandemią COVID-19? "
"2021/05/31 9:16:15 PM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Domki letniskowe","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Tak","Tak","Nie","Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/05/31 9:18:59 PM EET","Kobieta","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Mieście","Umowa o pracę","Tak","Tak, pracuję w innej branży.","Tak","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Nie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/05/31 9:30:05 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Nie","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/05/31 9:58:49 PM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Nie","Pensjonat - ośrodek prywatny","Nie","Zwiększyła się","W domu","Tak","Tak","Tak","Tak","Tak","Nie wspierałem","Nie"
"2021/05/31 10:10:37 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Tak","Tak","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/05/31 10:10:50 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Dział rezerwacji grupowych","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, znacznie","Tak","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/05/31 10:11:25 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Hotel","Tak","Zwiększyła się","Poza domem - w Polsce","Nie dotyczy","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/05/31 10:22:57 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Apartamenty","Nie","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Tak","Tak","Nie dotyczy","Tak","Nie","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/05/31 10:36:09 PM EET","Mężczyzna","25-40 lat","Średnie","Osoba zarządzająca obiektem","Lokal o przeważającej działalności marketingowej","śląskie","Gości indywidualnych","Tak, od 26-50%","Druga","Nie","Do 10 osób","Nie.","Tak, będzie tak jak przed pandemią.","Nie","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie kosztów stałych dla MŚP.","Zamknięcie granic.;Zamknięcie hoteli.;Zamknięcie stoków narciarskich.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Zakaz zgromadzeń (konferencje, spotkania biznesowe, spotkania rodzinne).;Ograniczenie w przemieszczaniu się konsumentów.;Ciężko sytuacja materialna konsumentów.;Obostrzenia wojewódzkie/powiatowe.;Strach konsumentów przed zakażeniem się.","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Próby obniżenia kosztów stałych związanych z energią (prośby o preferencyjne warunki spłaty zobowiązań).;Obniżenie kosztów marketingowych.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/05/31 10:45:16 PM EET","Mężczyzna","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restauracja stacjonarnie","Tak, obawa o otrzymanie mandatu.","Tak","Apartamenty","Nie","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/06/01 12:39:43 AM EET","Kobieta","16-24 lat","Podstawowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Pensjonat - ośrodek prywatny","Nie","Pozostała na tym samym poziomie.","Poza domem - wyjazdy za granicę","Nie","Nie dotyczy","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/06/01 2:05:37 AM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pobyt hotelowy;Catering, posiłki na wynos","Nie","Nie","Hotel","Tak","Zmniejszyła się","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Nie","Tak","Zamawianie posiłków Świątecznych.","Nie"
"2021/06/01 6:01:36 AM EET","Kobieta","16-24 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o otrzymanie mandatu.","Nie","Domki letniskowe","Nie","Zmniejszyła się","Poza domem - w Polsce","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Tak"
"2021/06/01 7:23:35 AM EET","Kobieta","41-55 lat","Zawodowe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Apartamenty","Tak","Zwiększyła się","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Nie","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/06/01 8:29:15 AM EET","Kobieta","16-24 lat","Zawodowe","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Tak","Nie","Tak, znacznie","Tak","Tak","Nie","Tak","","","","","","","","","","","","","",""
"2021/06/01 8:45:25 AM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o zdrowie.","Tak","Pensjonat - ośrodek prywatny","Nie","Zwiększyła się","Poza domem - w Polsce","Nie","Nie dotyczy","Nie dotyczy","Tak","Nie","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/06/01 1:54:17 PM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Nie","Tak","Tak, znacznie","Tak","Nie","Tak","Tak","","","","","","","","","","","","","",""
"2021/06/01 2:14:58 PM EET","Kobieta","25-40 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Tak, obawa o zdrowie.","Tak","Apartamenty","Tak","Zwiększyła się","Poza domem - w Polsce","Tak","Tak","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/06/01 5:49:33 PM EET","Mężczyzna","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos;Restauracja stacjonarnie","Nie","Tak","Hotel","Nie","Pozostała na tym samym poziomie.","Poza domem - w Polsce","Nie","Nie dotyczy","Nie","Nie","Tak","Regularne zamawianie jedzenia na wynos.;Spędziłem urlop, wakacje w Polsce.","Nie"
"2021/06/01 8:56:38 PM EET","Kobieta","16-24 lat","Wyższe","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Nie","Hotel","Tak","Zmniejszyła się","W domu","Tak","Tak","Nie","Tak","Tak","Regularne zamawianie jedzenia na wynos.;Zamawianie posiłków Świątecznych.","Nie"
"2021/06/04 10:33:37 AM EET","Kobieta","25-40 lat","Średnie","Konsument/gość","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catering, posiłki na wynos","Nie","Tak","Domki letniskowe","Tak","Pozostała na tym samym poziomie.","W domu","Nie dotyczy","Nie dotyczy","Nie dotyczy","Tak","Tak","Regularne zamawianie jedzenia na wynos.","Nie"
"2021/06/07 6:01:48 PM EET","Kobieta","25-40 lat","Średnie","Osoba zarządzająca obiektem","Lokal gastronomiczny","śląskie","Gości indywidualnych","Tak, powyżej 75%","Druga","Tak","Do 10 osób","Tak, byłem zmuszony zerwać umowy ze wszystkimi pracownikami.","Rynek konferencji/spotkań biznesowych znaczenie się zredukuje.","Nie","Nie korzystaliśmy z pomocy Rządu.","Zamknięcie hoteli.;Zakaz działalności klubów nocnych, dyskotek.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Zakaz zgromadzeń (konferencje, spotkania biznesowe, spotkania rodzinne).;Ciężko sytuacja materialna konsumentów.;Obostrzenia wojewódzkie/powiatowe.","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Nie próbowałam/Nie próbowałem.","Nie dotyczy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/08 1:20:20 AM EET","Kobieta","16-24 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Spokojnej (wieś, małe miasteczko)","Umowy cywilnoprawne (umowa zlecenie, umowa o dzieło)","Tak","Tak, pracuję w innej branży.","Nie","Tak, około 50% osób straciło pracę.","Biernie, nie wiadomo czego się spodziewać.","Tak","Tak","Tak, nieznacznie","Tak","Nie","Nie","Tak","","","","","","","","","","","","","",""
"2021/06/21 9:05:22 PM EET","Kobieta","25-40 lat","Średnie","Osoba zarządzająca obiektem","Hotel","dolnośląskie","Gości indywidualnych","Tak, od 51-75%","Pierwsza","Tak","11-50 osób","Tak, o około 50%","Tak, będzie tak jak przed pandemią.","Nie","Zwolnienie ze składek ZUS.;Dofinansowanie kosztów stałych dla MŚP.;Wydłużenie programu tarczy finansowej dla Dużych Firm.","Zamknięcie granic.;Obostrzenia wojewódzkie/powiatowe.","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Obniżenie kosztów marketingowych.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:06:57 PM EET","Mężczyzna","powyżej 55 lat","Wyższe","Osoba zarządzająca obiektem","Lokal gastronomiczny","lubelskie","Gości indywidualnych","Tak, od 26-50%","Pierwsza","Tak","Do 10 osób","Nie.","Tak, będzie tak jak przed pandemią.","Tak","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie wynagrodzeń pracowników.","Zakaz działalności stacjonarnej lokalu gastronomicznego.;Obostrzenia wojewódzkie/powiatowe.","Sprzedaż na wynos, w postaci room service.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:07:58 PM EET","Kobieta","16-24 lat","Podstawowe","Osoba zarządzająca obiektem","Lokal gastronomiczny","zachodniopomorskie","Gości indywidualnych","Nie, przychody znacząco nie spadły.","Pierwsza","Tak","Do 10 osób","Nie.","Tak, będzie tak jak przed pandemią.","Tak","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie wynagrodzeń pracowników.","Strach konsumentów przed zakażeniem się.","Sprzedaż na wynos, w postaci room service.","Podwyższenie cen.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:09:57 PM EET","Mężczyzna","25-40 lat","Wyższe","Osoba zarządzająca obiektem","Hotel;Lokal gastronomiczny","kujawsko-pomorskie;wielkopolskie;zachodniopomorskie","Grupowych (MICE, wesela itp.)","Tak, od 51-75%","Pierwsza","Tak","Do 10 osób","Tak, o około 50%","Tak, będzie tak jak przed pandemią.","Tak","Dofinansowanie wynagrodzeń pracowników.;Nie korzystaliśmy z pomocy Rządu.","Ograniczenie w przemieszczaniu się konsumentów.","Sprzedaż na wynos, w postaci room service.","Nie próbowałam/Nie próbowałem.","Nie dotyczy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:12:21 PM EET","Kobieta","41-55 lat","Średnie","Osoba zarządzająca obiektem","Lokal o przeważającej działalności marketingowej","pomorskie","Grupowych (MICE, wesela itp.)","Tak, od 51-75%","Pierwsza","Tak","11-50 osób","Nie.","Rynek konferencji/spotkań biznesowych znaczenie się zredukuje.","Nie","Nie korzystaliśmy z pomocy Rządu.","Strach konsumentów przed zakażeniem się.","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Nie próbowałam/Nie próbowałem.","Nie dotyczy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:15:01 PM EET","Mężczyzna","powyżej 55 lat","Podstawowe","Osoba zarządzająca obiektem","Hotel","małopolskie","Gości indywidualnych","Tak, od 26-50%","Druga","Tak","11-50 osób","Tak, o około 50%","Nie, raczej zapomnijmy o grupach.","Tak","Zwolnienie ze składek ZUS.;Świadczenia postojowe.","Zamknięcie granic.;Zamknięcie hoteli.;Obostrzenia wojewódzkie/powiatowe.","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Zmiana kodów PKD.","Nie","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:17:38 PM EET","Kobieta","25-40 lat","Wyższe","Osoba zarządzająca obiektem","Hotel;Lokal gastronomiczny","małopolskie;mazowieckie;podlaskie;świętokrzyskie","Gości indywidualnych","Tak, o mniej niż 25%","Pierwsza","Tak","51-250 osób","Nie.","Będą organizowane mniejsze uroczystości rodzinne.","Nie","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Wydłużenie programu tarczy finansowej dla Dużych Firm.","Zamknięcie stoków narciarskich.","Podróże służbowe.;Otwarcie hoteli tylko i wyłącznie dla określonych grup zawodowych.;Sprzedaż na wynos, w postaci room service.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Przekształcenie profilu działalności (np. rehabilitacja medyczna, catering, izolatorium).;Próby obniżenia kosztów stałych związanych z energią (prośby o preferencyjne warunki spłaty zobowiązań).;Obniżenie kosztów marketingowych.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:19:56 PM EET","Kobieta","powyżej 55 lat","Podstawowe","Osoba zarządzająca obiektem","Lokal gastronomiczny","śląskie","Grupowych (MICE, wesela itp.)","Tak, od 26-50%","Pierwsza","Tak","11-50 osób","Nie.","Tak, będzie tak jak przed pandemią.","Nie","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie wynagrodzeń pracowników.","Zakaz zgromadzeń (konferencje, spotkania biznesowe, spotkania rodzinne).","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Nie próbowałam/Nie próbowałem.","Nie dotyczy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:20:59 PM EET","Mężczyzna","powyżej 55 lat","Podstawowe","Osoba zarządzająca obiektem","Lokal gastronomiczny","małopolskie","Grupowych (MICE, wesela itp.)","Tak, o mniej niż 25%","Druga","Tak","Do 10 osób","Tak, o około 50%","Tak, będzie tak jak przed pandemią.","Nie","Zwolnienie ze składek ZUS.;Dofinansowanie wynagrodzeń pracowników.;Umorzenie subwencji z Tarczy Finansowej z Polskie Funduszu Rozwoju.;Pożyczki długoterminowe z gwarancją.","Zakaz zgromadzeń (konferencje, spotkania biznesowe, spotkania rodzinne).","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Próby obniżenia kosztów stałych związanych z energią (prośby o preferencyjne warunki spłaty zobowiązań).","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:22:02 PM EET","Mężczyzna","25-40 lat","Średnie","Osoba zarządzająca obiektem","Hotel","pomorskie","Gości indywidualnych","Tak, od 26-50%","Pierwsza","Tak","11-50 osób","Tak, o około 50%","Tak, będzie tak jak przed pandemią.","Nie","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie wynagrodzeń pracowników.;Dofinansowanie kosztów stałych dla MŚP.","Zamknięcie granic.;Zamknięcie basenów i siłowni.;Zamknięcie hoteli.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Ciężko sytuacja materialna konsumentów.","Podróże służbowe.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Obniżenie kosztów marketingowych.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:24:03 PM EET","Kobieta","powyżej 55 lat","Podstawowe","Osoba zarządzająca obiektem","Lokal gastronomiczny","zachodniopomorskie","Grupowych (MICE, wesela itp.)","Tak, powyżej 75%","Pierwsza","Tak","11-50 osób","Tak, byłem zmuszony zerwać umowy ze wszystkimi pracownikami.","zamkniety lokal","Nie","Nie korzystaliśmy z pomocy Rządu.","Zakaz zgromadzeń (konferencje, spotkania biznesowe, spotkania rodzinne).","Żadne znoszenia obostrzeń nie pozwoliło na redukcję strat.","Nie próbowałam/Nie próbowałem.","Nie dotyczy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:28:38 PM EET","Mężczyzna","41-55 lat","Wyższe","Osoba zarządzająca obiektem","Lokal o przeważającej działalności cateringowej","mazowieckie","Grupowych (MICE, wesela itp.)","Tak, powyżej 75%","Druga","Tak","11-50 osób","Tak, o około 50%","Rynek konferencji/spotkań biznesowych znaczenie się zredukuje.","Nie","Zwolnienie ze składek ZUS.;Dofinansowanie wynagrodzeń pracowników.;Umorzenie subwencji z Tarczy Finansowej z Polskie Funduszu Rozwoju.;Wydłużenie programu tarczy finansowej dla Dużych Firm.;Pożyczki długoterminowe z gwarancją.","Zamknięcie granic.;Zamknięcie basenów i siłowni.;Zamknięcie hoteli.;Ciężko sytuacja materialna konsumentów.","Podróże służbowe.;Otwarcie hoteli tylko i wyłącznie dla określonych grup zawodowych.;Wprowadzenie bonu turystycznego.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Podwyższenie cen.;Przekształcenie profilu działalności (np. rehabilitacja medyczna, catering, izolatorium).","Nie","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:30:22 PM EET","Kobieta","25-40 lat","Średnie","Osoba zarządzająca obiektem","Hotel","małopolskie","Gości indywidualnych","Tak, powyżej 75%","Pierwsza","Tak","Do 10 osób","Tak, powyżej 50%","Będą organizowane mniejsze uroczystości rodzinne.","Nie","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie kosztów stałych dla MŚP.","Zamknięcie hoteli.;Zakaz działalności klubów nocnych, dyskotek.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Ograniczenie w przemieszczaniu się konsumentów.;Ciężko sytuacja materialna konsumentów.;Obostrzenia wojewódzkie/powiatowe.","Podróże służbowe.;Otwarcie hoteli tylko i wyłącznie dla określonych grup zawodowych.;Wprowadzenie bonu turystycznego.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Obniżenie kosztów marketingowych.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:31:48 PM EET","Mężczyzna","25-40 lat","Wyższe","Osoba zarządzająca obiektem","Lokal o przeważającej działalności cateringowej","śląskie","Gości indywidualnych","Tak, od 51-75%","Druga","Tak","Do 10 osób","Tak, byłem zmuszony zerwać umowy ze wszystkimi pracownikami.","Będą organizowane mniejsze uroczystości rodzinne.","Nie","Nie korzystaliśmy z pomocy Rządu.","Zakaz działalności klubów nocnych, dyskotek.;Ograniczenie w przemieszczaniu się konsumentów.;Ciężko sytuacja materialna konsumentów.;Strach konsumentów przed zakażeniem się.","Sprzedaż na wynos, w postaci room service.","Podwyższenie cen.;Próby obniżenia kosztów stałych związanych z energią (prośby o preferencyjne warunki spłaty zobowiązań).","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/06/21 9:32:52 PM EET","Mężczyzna","41-55 lat","Średnie","Osoba zarządzająca obiektem","Lokal gastronomiczny","małopolskie","Gości indywidualnych","Tak, powyżej 75%","Druga","Tak","11-50 osób","Tak, byłem zmuszony zerwać umowy ze wszystkimi pracownikami.","Nie, raczej zapomnijmy o grupach.","Nie","Nie korzystaliśmy z pomocy Rządu.","Zakaz działalności stacjonarnej lokalu gastronomicznego.","Sprzedaż na wynos, w postaci room service.","Obniżenie wymiaru czasu pracy/obniżenie pensji pracowników.;Przekształcenie profilu działalności (np. rehabilitacja medyczna, catering, izolatorium).","Nie","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/07/09 6:41:07 PM EET","Kobieta","25-40 lat","Wyższe","Osoba zarządzająca obiektem","Hotel","dolnośląskie","Grupowych (MICE, wesela itp.)","Tak, od 51-75%","Druga","Nie","11-50 osób","Nie.","Rynek konferencji/spotkań biznesowych znaczenie się zredukuje.","Tak","Zwolnienie ze składek ZUS.;Świadczenia postojowe.;Dofinansowanie wynagrodzeń pracowników.;Umorzenie subwencji z Tarczy Finansowej z Polskie Funduszu Rozwoju.","Zamknięcie granic.;Zamknięcie hoteli.;Zakaz działalności stacjonarnej lokalu gastronomicznego.;Ograniczenie w przemieszczaniu się konsumentów.;Strach konsumentów przed zakażeniem się.","Podróże służbowe.;Otwarcie hoteli tylko i wyłącznie dla określonych grup zawodowych.;Sprzedaż na wynos, w postaci room service.","Próby obniżenia kosztów stałych związanych z energią (prośby o preferencyjne warunki spłaty zobowiązań).;Obniżenie kosztów marketingowych.;Próby obniżenia czynszów, podatków od nieruchomości.","Tak","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/07/09 6:42:47 PM EET","Kobieta","25-40 lat","Wyższe","Pracownik","","","","","","","","","","","","","","","","Recepcja","Spokojnej (wieś, małe miasteczko)","Umowa o pracę","Nie","Nie","Nie","Nikogo nie zwolniono, nikogo nie zatrudniono.","Dobre, pracodawca stara się utrzymać miejsca pracy.","Nie","Nie","Nie","Nie","Tak","Tak","Tak","","","","","","","","","","","","","",""
"2021/09/21 9:59:57 AM EET","Kobieta","25-40 lat","Średnie","Pracownik","","","","","","","","","","","","","","","","Gastronomia","Turystycznej - góry","Umowa o pracę","Nie","Nie","Tak","Nikogo nie zwolniono, nikogo nie zatrudniono.","Biernie, nie wiadomo czego się spodziewać.","Tak","Nie","Tak, znacznie","Nie","Nie","Tak","Tak","","","","","","","","","","","","","",""
